회사명,거래소코드,회계년도,회계년월,회계감사법인,회계년월,기수,감사인,비고,보수(천원),시간구분,총소요시간,내용,회계년월,기수,비고,내용,용역수행기간,보수(천원),계약일
(주)DB Inc.,012030,2019/12,2019/12,안진회계법인,2019/12,43,안진회계법인,,135000,10,1720,- 회계감사 용역 계약 : 연결/별도 반기 재무제표 검토 (2019.07.22~2019.07.26) : 연결/별도 재무제표에 대한 감사 (2020.02.03~2020.02.14),2019/12,43,안진회계법인(VAT별도),세무조정,2019.07~2020.03,15000,20190700
(주)DB하이텍,000990,2019/12,2019/12,삼정회계법인,2019/12,67,삼정회계법인,,230000,10,2910,회계감사 용역계약,,,,,,,
(주)HJ 매그놀리아 용평 호텔 앤 리조트,070960,2019/12,2019/12,한울회계법인,2019/12,21,한울회계법인,,135000,10,2154,분기 별도/연결 재무제표 검토 반기 별도/연결 재무제표 검토 연간 별도/연결 재무제표 감사,,,,,,,
(주)LG데이콤,015940,2008/12,,,,,,,,,,,,,,,,,
(주)LG파워콤,045820,2008/12,,,,,,,,,,,,,,,,,
(주)MH에탄올,023150,2019/12,2019/12,안경회계법인,2019/12,42,안경회계법인,,65000,10,1377,반기검토 : 2019.7.29 ~ 2019.7.31 연결반기검토 : 2019.8.1 ~ 2019.8.4 기말감사 : 2020.2.3 ~ 2020.2.7 연결감사 : 2020.2.26 ~ 2020.2.28,,,,,,,
(주)S&TC,100840,2019/12,2019/12,대주회계법인,2019/12,12,대주회계법인,,93000,10,1025,"감사 및 분,반기 검토",,,,,,,
(주)S&T홀딩스,036530,2019/12,2019/12,삼정회계법인,2019/12,38,삼정회계법인,,103000,10,1444,연결 및 별도 외부회계감사,2019/12,38,,법인세 세무조정 및 세무자문,해당 회계연도,11000,20190500
(주)SH에너지화학,002360,2019/12,2019/12,삼일회계법인,2019/12,62,삼일회계법인,,100000,10,1039,별도 및 연결 분반기 재무제표에 대한 검토 별도 및 연결 재무제표에 대한 감사,,,,,,,
(주)SIMPAC,009160,2019/12,2019/12,삼정회계법인,2019/12,47,삼정회계법인,,295000,10,3966,"별도 및 연결재무제표 감사  (분,반기검토 포함)",,,,,,,
