회사명,거래소코드,회계년도,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,매출채권 대 상,제품비율,매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,상품,제품회전률,원,부재료회전률,재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수,PER(Price earnings ratio)(최고),PER(Price earnings ratio)(최저),PBR(Price book-value ratio)(최고),PBR(Price book-value ratio)(최저),PCR(Price cash-flow ratio)(최고),PCR(Price cash-flow ratio)(최저),PSR(Price sales ratio)(최고),PSR(Price sales ratio)(최저),기업가치(EV)(백만원),EBITDA(백만원),EBITDA/매출액(%),EBITDA/금융비용(배),EBITDA/평균발행주식수(백만원),EV/EBITDA(배)
(주)DB Inc.,012030,1990/12,-17.98,23.59,-32.18,3.25,4.82,59.34,0.15,7.26,0,0,-13.78,0,0,18.99,11.2,6.15,3.38,9.8,8.29,4.55,2.5,16.59,9.11,5.01,75.27,41.32,22.73,49.8,5.74,4.95,3.7,9.01,2.72,81.01,88.8,-4.91,1.61,-0.16,0.25,93.91,16.21,0.46,1.66,17.59,36.54,50.16,2.38,18.71,18.19,0,20.88,70.64,15,4.4,88,25203.59,0,0,1972.75,16278.94,240.58,0.41,2822.52,52.26,56.79,109.45,22.58,47.74,49.4,50.6,340.58,96.64,60.36,250.05,108.06,11.13,53.63,35.7,94.63,74.41,54.93,47.98,102.42,42.3,18.71,60.12,94.71,31.36,14.3,28.94,3.06,4.9,34.9,2.41,64.65,70.51,125.91,20.43,72.28,10.34,14.14,6.94,0.74,0.8,1.48,6.72,1.48,5.71,63.88,1.55,3.16,3.03,120.55,4.7,17.29,84.54,8.79,41.53,1.42,1.66,1.09,0.16,0.01,12525.05,0,0,0,0,0,0,0,0,30.28,76.54,239.75,41.41,37.98,62.02,8.17,12525.05,1903.04,4756.67,487.94,79.68,134.32,5163.4,0,30.28,239.75,41.41,0,,,,,,,,,,,,,,
(주)DB하이텍,000990,1990/12,13.02,17.89,40.78,19.31,22.63,35.44,13.66,16.66,21.68,-4.87,28.97,22.63,15.23,27,15.78,7.69,4.01,21.56,19.72,9.61,5.01,72.46,35.32,18.42,202.53,98.71,51.49,51.51,14.38,11.06,9.78,22.68,5.77,73,84.22,-8.08,3.82,-0.86,2.22,92.59,7.8,0.6,3.97,1.22,16.71,77.7,6.56,15.35,17.61,0,20.22,66.37,15,5.04,29.13,64170.53,0,0,3531.24,14118.3,197.37,0,10126.52,71.8,44.85,254.57,39.6,28.2,26.46,73.54,297.37,106.58,56.21,144.1,79.48,9.75,89.05,76.09,146.53,114.21,104.94,66.62,277.91,188.29,54.56,89.63,107.93,21.97,39.37,148.78,2.98,3.02,17.56,1.97,58.1,21.92,74.21,7.56,14.11,5.56,4.87,4.13,1.25,1.44,4.59,12.83,1.72,5.62,64.92,1.72,2.98,4.08,89.44,6,15.87,234.31,4.3,84.93,4.56,9,0.99,0.36,0.01,24016.27,35.16,162.54,12.5,6.52,12.2,17.67,4.31,142.32,24.71,199.05,815.11,21.63,34.69,65.31,18.54,24016.27,8546.1,8330.52,4238.28,959.76,638.44,1303.17,35.16,24.71,815.11,21.63,683,,,,,,,,,,,,,,
(주)HJ 매그놀리아 용평 호텔 앤 리조트,070960,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)LG데이콤,015940,1990/12,49.77,76.13,83.65,152.47,115.49,11.84,24.8,42.57,0,0,65.69,0,0,20.19,13.18,5.51,3.41,14.98,13.98,5.84,3.62,95.25,39.82,24.65,184.12,76.97,47.66,38.16,11.14,6.2,8.91,14.82,3.84,79.81,86.82,-7.89,4.99,-0.01,0.44,94.76,19.45,0.24,5.21,4.47,21.92,75.59,6.21,7.56,9.71,0,31.33,53.41,5,2.33,10.49,69854.24,2383,0,-12523.26,10481.94,114.64,0,9206.01,13.05,1.71,15.01,12.83,86.95,13.03,86.97,214.64,667.31,113.71,55.46,54.51,0.52,16.28,834.75,0,101.35,1463.24,823.6,667.49,180.65,14.14,486.84,0,-10.48,66.55,510.76,2.22,2.06,6.96,1.15,12.07,82.2,110.43,-7.99,-10.44,-6.95,-8.19,2.64,1.06,1.12,7.23,13.97,1.24,69.01,5.29,8.29,8.46,401.64,0.91,644.95,0,0,59.37,6.15,1.22,4.22,2.91,0,0.57,58472.29,0,0,0,0,0,0,0,0,30.05,133.56,396.11,35.44,52.56,47.44,9.63,58472.29,8728.46,30734.13,8236.08,3333.61,373.85,7066.16,0,30.05,396.11,35.44,0,,,,,,,,,,,,,,
(주)LG파워콤,045820,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,023150,1990/12,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15,11.97,8.17,5.79,18.53,15,10.24,7.26,26.76,18.27,12.95,101.5,69.3,49.11,35.8,14.03,19.63,11.05,28.76,13.91,83.85,88.03,-3.27,3.03,0,0.06,91.69,2.77,0.33,3.15,2.99,16,167.92,8.63,31.98,31.98,0,47.45,73.64,10,2.64,20.36,84777.85,0,0,13299.71,36930.11,279.3,0,10150.33,25.52,77.19,34.27,5.82,74.48,56.05,43.95,379.3,132.89,108.51,81.37,18.56,0.68,0,18.63,0,109.06,66.08,17.08,78.43,55.97,76.28,22.46,0,-5.84,22.89,40.85,2.05,3.88,41.27,2.79,20.38,59.45,41.63,44.71,85.84,19.65,15.69,3.96,1.25,2.4,2.24,8.48,2.85,37.21,9.81,4.91,21.52,6.36,57.41,22.55,10.29,268.79,34.12,10.7,1.68,4.87,2.2,0.31,0.02,3284.95,0,0,0,0,0,0,0,0,22.06,85.79,557.05,17.61,15.12,84.88,32.89,3284.95,1623.51,496.67,564.54,5.46,59.42,535.35,0,22.06,557.05,17.61,0,,,,,,,,,,,,,,
(주)S&TC,100840,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)S&T홀딩스,036530,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,002360,1990/06,56.79,9.21,0,-147.73,0,-28.92,-6.28,-9.9,-40.49,2.44,34.15,-12.05,10.96,6.6,-0.42,-3.36,-3.49,1.27,-0.41,-3.26,-3.38,-0.89,-7.1,-7.37,-1.46,-11.71,-12.16,0,-0.89,-3.71,-1.02,-0.46,-3.85,93.4,100.42,-3.07,2.44,0.24,0.1,103.41,7.28,0.52,2.31,3.65,17.04,55.22,4.38,8.37,10.83,0,-5.84,37.33,0,0,0,17416.24,0,0,87,7671.45,59.56,0.17,-73.2,56.53,21.02,130.03,44.64,43.47,40.91,59.09,159.56,105.08,57.97,218.77,172.78,17.14,79.23,237.31,38.72,414.95,526.31,57.19,144.43,63.16,31.59,81.27,108.35,30.69,44.47,108.69,-0.1,-0.43,15.27,0.6,60.62,42.48,100.28,9.14,12.14,5.4,6.04,-0.17,0.97,1.1,2.11,3.48,1.79,13.54,26.96,1.65,2.24,6.25,58.44,13.61,15.46,148.92,3.6,101.28,2.35,3.13,1.09,0,0.01,5606.06,22.25,165.91,-5.58,-5.79,12.78,56.66,13.65,185.77,11.98,39.26,162.94,13.41,57.46,42.54,-26.03,5606.06,-1459.18,3221.29,1020.86,976.56,230.13,1616.4,22.25,11.98,162.94,13.41,252,,,,,,,,,,,,,,
(주)SIMPAC,009160,1990/12,34.17,47.94,37.57,76.46,33.51,39.38,90.9,27.8,-1.97,5.51,40.93,21.13,20.49,23.39,14.78,3.83,3.28,11.37,9.22,2.39,2.04,29.62,7.67,6.57,63.12,16.34,13.99,19.17,8.03,2.86,7.68,11.05,2.45,76.61,85.22,-11,9.05,-0.28,0.31,96.35,17.21,0.28,9.07,2.69,7.66,40.52,8.19,17.22,17.94,0,8.54,54.22,3.14,1.44,28.72,18508.33,0,0,-308.52,11476.58,118.44,0,2735.46,56.92,28.83,132.12,40.51,43.08,34.52,65.48,218.44,123.94,91.09,107.32,76.38,15.42,61.96,155.79,422.47,164.25,464.7,94.85,189.7,153.64,71.12,36.06,320.47,3.88,38.23,110.76,1.18,1.42,18.72,1.18,90.49,69.87,153.22,-6.85,-11.73,-4.49,-8.51,1.63,0.62,0.75,2,4.27,0.91,4.13,88.29,1.11,1.57,3.74,97.58,11.97,40.41,7.92,2.25,161.92,1.43,2.18,0.58,0.54,0.01,11840.79,22.09,66.45,2.54,2.18,11.41,28.44,9.99,126.06,17.52,77.69,221.03,33.25,51.65,48.35,9.85,11840.79,1345.74,6116.3,3221.94,102.45,97.82,956.55,22.09,17.52,221.03,33.25,536,,,,,,,,,,,,,,
(주)STX,011810,1990/12,-4.95,38.29,29.86,62.05,17.79,75.96,50.48,21.71,-7.03,6.25,-7.62,14.55,-4.61,16.21,11.82,2.95,2.48,10.74,8.84,2.21,1.85,40.32,10.07,8.45,71.17,17.77,14.92,32.41,5.22,2.37,4.86,9.49,1.99,83.79,88.18,-8.51,4.03,-3.5,0.1,96.8,13.18,0.35,4.02,5.56,12.6,28.13,3.85,12.66,16.45,0,6.38,44.49,2.3,1.28,18.17,31467.43,0,0,-7136.53,10380.23,80.14,0.24,3719.36,61.85,47.41,162.15,32.53,38.15,24.5,75.5,180.14,155.05,92,105.34,55.4,12.63,68.54,41.92,934.88,230.8,503.48,18.16,308.24,239.71,64.15,68.53,535.19,3.14,36.08,147.31,1.8,1.82,10.9,0.8,76.63,57.12,135.22,-1.93,-4.05,-1.46,-2.1,2.94,0.75,0.8,3.41,6.02,0.96,6.24,58.47,1.3,2.3,3.02,120.69,33.99,12.12,8.54,5.24,69.65,1.75,2.16,0.65,0.49,0.01,50096.11,29.18,108.71,3.21,2.69,14.36,48.02,14.54,156.33,18.66,60.76,200.66,26.84,49.21,50.79,9.23,50096.11,6180.86,24653.79,7514.28,683.19,661.8,10402.21,29.18,18.66,200.66,26.84,1717,,,,,,,,,,,,,,
