회사명,거래소코드,회계년도,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,"매출채권 대 상,제품비율",매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,"상품,제품회전률","원,부재료회전률",재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수,PER(Price earnings ratio)(최고),PER(Price earnings ratio)(최저),PBR(Price book-value ratio)(최고),PBR(Price book-value ratio)(최저),PCR(Price cash-flow ratio)(최고),PCR(Price cash-flow ratio)(최저),PSR(Price sales ratio)(최고),PSR(Price sales ratio)(최저),기업가치(EV)(백만원),EBITDA(백만원),EBITDA/매출액(%),EBITDA/금융비용(배),EBITDA/평균발행주식수(백만원),EV/EBITDA(배)
(주)DB Inc.,012030,2018/12,-15,3.58,0,,0,731.62,6.04,3.66,184.44,-2.45,69.58,6.26,-0.95,11.36,-0.50,,3.06,5.48,-0.43,,2.63,-0.73,,4.41,-1.07,,6.48,-10.21,,,-1.13,-0.88,5.32,88.64,100.50,3.10,-4.37,0.11,3.45,97.59,4.72,0.18,-4.17,0.81,6.85,56.06,-9.31,5.11,8.97,0,29.19,132.32,0,0,0,"1,028.16",34,,46.37,642.69,75.47,0,-5.19,21.77,13.32,27.83,18.87,78.23,51.33,48.67,147.06,152.42,97.14,111.83,96.94,25.76,0,322.82,125.84,225.36,800.32,143.25,94.83,37.92,25.24,56.90,"1,267.96",2.30,35.25,68.68,-0.20,"999,999,999",26.34,0.75,29.81,86.64,57.12,6.17,8.52,3,4.18,0,0.86,1.74,1.44,2.12,2.13,14.63,24.95,3.36,3.63,44.20,8.26,94.58,0,0,6.78,53.87,1.15,43.77,1.85,0.03,0.03,"10,726.24",29.88,576.15,,17.64,28.57,0,0,0,3.72,247.04,0,5.19,95.61,4.39,59.03,"10,726.24","5,364.03","10,255.25","-9,045.86","2,004.40",380.81,"1,767.61",29.88,3.72,0,5.19,359,40.51,20.02,1.98,0.98,27.50,13.59,1.24,0.61,"252,613.75",723.24,0.35,0.14,3.60,349.28
(주)DB하이텍,000990,2018/12,7.56,9.06,-20.70,,27.80,-42.83,22.88,-1.54,9.17,0.77,6.60,-2.29,-13.61,32.17,16.87,,14.21,11.50,11.13,,9.38,22.94,,19.32,50.72,,42.73,8.90,,,10.65,12.14,10.22,67.83,83.13,-1.27,1.93,0.37,0,84.93,4.36,0,2.20,11.46,14.16,321.56,2.47,5.48,5.06,0,49.52,73.33,4.88,2,11.42,"15,036.21","2,192",,"4,106.39","11,312.20",153.28,7.89,"2,536.09",36.18,11.28,56.68,32.09,63.82,51.64,48.36,243.78,123.60,75.02,242.42,215.06,31.25,0,230.48,19.21,271.97,0,84.74,93.66,28.90,9.05,64.76,157.34,21.25,29.03,56.21,6.76,9.08,32.47,1.53,54.43,97.09,140.54,35.92,59.84,17.37,27.27,8.74,0.66,0.72,1.36,3.01,1.28,19.69,18.54,1.84,2.19,11.35,32.15,716.96,19.16,34.70,7.25,50.33,1.03,1.16,1.30,0,0.02,"212,212.96",108.55,342.34,,48.64,13.13,0,0,0,20.20,41.97,96.78,31.71,12.10,87.90,44.81,"212,212.96","104,372.63","25,670","12,917.33","1,876",0,"67,377",108.55,20.20,96.78,31.71,"1,955",9.74,4.68,1.84,0.88,5.07,2.44,1.38,0.67,"672,035.53","180,261.30",26.93,10.79,"4,049.80",3.73
(주)HJ 매그놀리아 용평 호텔 앤 리조트,070960,2018/12,-2.62,-27.09,-26.81,,-40.12,-4.63,1.51,-13.50,-19.44,7.79,-2.31,-19.75,9.27,22.95,13.57,,5.61,2.97,2.92,,1.21,5.97,,2.47,10.21,,4.22,23.08,,,2.42,2.94,1.21,77.05,86.43,-6.35,5.59,0.29,0.62,92.83,2.89,0.09,5.99,9.86,5.91,85.46,2.36,6.80,7.08,0,37.11,41.69,1.40,0.81,33.16,"3,762.21",211,,"1,089.27","8,287.53",72.15,0,510.37,12.74,12.93,14.60,11.09,87.26,50.99,49.01,172.15,171.11,113.32,55.40,48.24,57.22,0,161.59,0,"1,472.51",185.42,10.97,96.10,45.10,75.68,51,0,-10.26,18.98,37.21,2.34,2.29,21.37,0.72,67.79,396.12,447.19,8.82,22.78,4.32,19.39,2.43,0.22,0.22,0.44,0.75,0.42,112.33,3.25,1.48,1.66,13.20,27.65,30.20,549.28,0,3.28,111.14,0.25,0.26,0.53,0,0.01,"45,291.20",130.90,523.37,,29.37,14.15,0,0,0,5.57,6.53,0,25.01,10.81,89.19,22.44,"45,291.20","13,064.79","4,894.49","10,129.94",373.51,146.92,"16,681.56",130.90,5.57,0,25.01,346,59.44,22.26,1.51,0.57,11.52,4.31,3.34,1.25,"388,073.58","41,247.35",22.78,3.93,856.94,9.41
(주)LG데이콤,015940,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)LG파워콤,045820,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)MH에탄올,023150,2018/12,2.96,0.82,-13.63,,11.02,16.86,5.83,-2.75,3,4.17,2.32,-6.64,5.32,26.87,19.23,,13.96,8.69,8.32,,6.04,13.56,,9.84,196.41,,142.56,22.91,,,6.62,14.38,10.44,73.13,80.77,-1.65,1.34,0.17,0,82.61,5.90,0.63,1.60,3.41,6.35,93.20,1.49,2.91,2.87,0,99.39,107.60,51.08,3.43,35.83,"6,362.12",955,,903.80,"8,335.92","1,490.09",0,"1,223.62",16.77,34.98,20.14,10.90,83.23,62.44,37.56,"1,489.56",133.30,95.16,133.80,87,0.03,0,159.65,138.46,0,472.16,0,60.15,20.07,29.48,40.08,590.95,4.24,32.43,51.93,8.73,14.16,62.46,14.90,39.01,192.23,135.55,21.15,24.50,7.95,18.56,14.39,0.43,0.75,0.71,10.21,1.12,0,0,2.56,3.80,7.87,46.39,24.60,28.21,164.48,4.50,81.08,0.52,1.17,1.42,0.08,0.01,"12,812.62",256.25,938.86,,131.07,46.24,0,0,0,11.68,31.61,619.57,27.29,18.04,81.96,51.15,"12,812.62","8,252.18","2,311.89",627.23,34.69,248.55,"1,338.09",256.25,11.68,619.57,27.29,50,7.80,5.07,0.83,0.54,7.67,4.98,1.09,0.71,"79,014.60","10,366.60",22.08,10.03,"1,404.97",7.62
(주)S&TC,100840,2018/12,-0.94,-10.06,0,,-60.16,144.89,-1.09,-24.21,-28.51,-2.56,-1.48,-22.22,-4,14.88,-1.36,,1.31,-0.22,-0.65,,0.63,-0.81,,0.78,-52.63,,50.77,24.39,,,0.20,-0.67,0.64,85.12,101.36,3.07,-0.89,3.72,0.02,98.39,6.46,0.02,-0.85,1.42,10.92,133.13,-2.14,0,0,0,80.13,100.30,2.87,0.05,0,"19,119.30",257,,"1,978.28","31,417.76","6,366.74",0.49,-259.31,55.35,3.66,123.96,53.32,44.65,82.31,17.69,"6,338.82",54.25,50.30,492.86,474.82,38.31,0,444.94,4.59,193.19,0,230.32,21.50,13.64,0,7.85,14.65,44.12,0,0,"999,999,999","999,999,999",82.67,63.67,117.71,90.60,195.92,8.91,0,1.58,3.17,0,0.48,0.49,0.60,38.80,2.40,9.30,39.25,0.85,0.87,34.81,10.49,0,44.78,0,3.67,99.58,1.10,1.20,0.68,0.03,0.01,"12,906.29",67.93,734.30,,9.61,49.57,0,0,0,4.59,11.18,828.46,9.25,72.98,27.02,14.14,"12,906.29","2,388.64","9,418.58","-1,240.68",251.82,25.76,"2,062.17",67.93,4.59,828.46,9.25,190,68.56,41.57,0.55,0.33,8.67,5.26,0.90,0.54,"21,058.11",169.98,0.12,0,23.29,123.89
(주)S&T홀딩스,036530,2018/12,-85.48,-8.83,-0.18,,49.03,0,-0.60,-1.70,8.57,42.86,1.85,-31.19,-38.04,0,73.94,,85.27,1.66,1.27,,1.47,1.27,,1.47,65.49,,75.52,11.85,,,1.07,5.69,6.56,0,26.06,22.79,-22.82,0,0.65,21.24,76.72,0,-87.45,0.78,24.96,181.68,-626.77,0,0,0,73.84,99.81,75.52,1.49,101.44,447.26,386,,410.42,"25,529.46","5,044.01",0,330.72,21.18,0,26.87,21.18,78.82,99.95,0.05,"5,059.58",78.86,78.86,"38,653.84","38,653.84",4.02,0,0,0,0,0,0,0.05,0.05,0,0,0,21.13,0,0,"999,999,999","999,999,999",99.64,50.44,"1,287.60","4,528.55","1,235","2,778.65",0,1.52,88.29,0,0.02,0.08,0.02,0.89,27.47,271,1.35,0.08,0.08,0,0,0,0,0,12.63,28.90,0.02,640.14,0.08,0,0.04,"6,903.55",690.35,729.21,,621.81,145.97,0,0,0,1.63,"239,042.45",0,94.67,21.14,78.86,90.07,"6,903.55","7,053.79","1,459.70","-1,663.98",39.21,0,14.84,690.35,1.63,0,94.67,10,41.82,28.32,0.62,0.42,38.86,26.31,35.66,24.15,"208,349.93","5,406.87",74.15,0,331.63,38.53
(주)SH에너지화학,002360,2018/12,-3.37,-1.96,-78.68,,-68.93,12.37,-1.56,-2.12,-49.39,5.41,-1.85,-7.14,-11.07,6.47,1.56,,1.53,2.54,2.30,,2.27,2.68,,2.64,5.04,,4.96,19.15,,,2.10,2.52,2.48,93.53,98.44,0.34,-0.11,0.23,0,98.12,2.25,0,-0.11,1.27,8.27,123,-1.18,2.61,2.61,100,39.13,47.24,4.57,2.45,92.13,"1,626.36",25,,38.55,904.99,88.19,0.05,25.30,64.18,26.88,179.18,46.93,35.82,86.08,13.92,186.70,41.61,37.91,"1,166.09",852.64,33.98,0,122.43,29.40,"2,670.62",195.07,4.58,16.17,6.39,0,9.78,14.35,58.68,2.90,3.36,30.80,"999,999,999",40.66,0.88,43.35,24.18,61.02,61.13,293.96,8.51,5.69,0,1.48,1.62,1.72,3.24,10.52,138.30,2.64,2.31,3.08,9.17,39.80,15.50,24.15,334.01,6.84,53.36,4.13,5.94,2.10,0,0.01,"9,747.92",62.49,"1,158.67",,17.74,25.73,0,0,0,8.06,33.13,80.51,5.39,41.18,58.82,28.38,"9,747.92","3,422.21","4,014.25",-202.66,246.21,0,"2,267.90",62.49,8.06,80.51,5.39,156,74.92,32.62,2.06,0.90,48.38,21.06,1.15,0.50,"99,377.69","5,079.46",2.81,55.64,45.70,19.56
(주)SIMPAC,009160,2018/12,122.03,118.93,-48.35,,774.43,202.86,83.71,32.35,114.48,63.93,62.74,-19.27,-27.45,9.41,2.68,,23.20,2.18,1.49,,12.84,2.27,,19.65,30.54,,264.01,3.34,,,12.61,2.29,19.83,90.59,97.32,21.32,-0.43,0.30,0.05,80.47,3.05,0,-0.43,2.89,11.65,114.51,-0.68,2.15,2.90,0,17.66,96.09,11.10,0.88,5.82,"9,244.10","1,513",,"1,247.73","13,925.81","1,204.59",0,248.10,43.48,38.02,76.94,26.95,56.52,65.43,34.57,"1,256.68",86.38,84.48,131.38,81.43,35.40,0,54.49,159.16,152.93,93.87,35.63,52.83,50.58,0,2.25,14.18,10.39,16.43,25.11,3.25,"999,999,999",62.72,12.05,74.02,106.62,160.83,5.22,10.97,1.80,4.21,0,0.55,0.85,0.85,11.38,1.60,8.67,42.10,1.35,2.07,3.89,93.79,6.23,20.55,26.70,4.35,83.92,0.94,2.37,0.75,0,0.01,"79,427.49",158.85,537.73,,124.76,16.24,0,0,0,12.64,50.91,219.86,29.54,10.22,89.78,78.54,"79,427.49","64,536.83","8,121.05","-1,143.96",221.60,0,"7,691.97",158.85,12.64,219.86,29.54,500,2.44,0.93,0.38,0.14,4.19,1.60,0.57,0.22,"166,191.68","14,907.86",5.54,6.71,512.56,11.15
