번호,회사명,상장여부,고유코드,시장코드,감리대상연도,조치일,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
3,(주)누리플랜,코스닥시장,00410997,069140,2009~2016,2017-11-15,0,0,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,
6,(주)대호에이엘,유가증권시장,00428729,069460,2012~2014.3.31.,2018-09-05,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,
9,DRB 동일(디알비동일),유가증권시장,00118266,004840,2015~2016,2019-01-09,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
10,(주)디오,코스닥시장,00115931,039840,2012~2016,2017-06-07,0,0,0,1,1,1,1,1,0,0,0,0,,,,,,,,,,,
11,(주)디지털대성,코스닥시장,00398808,068930,2014.12.31.~2016.3.31.,2016-10-12,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,
12,"서울리거(구, 로켓모바일)",코스닥시장,00305570,043710,2011~2013.9.30,2016-06-15,0,0,0,0,0,0,1,1,1,0,0,0,,,,,,,,,,,
13,"UCI(구, 리젠)",코스닥시장,00215976,038340,2014.12.31.~2016.6.30.,2016-12-07,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,
16,(주)메지온,코스닥시장,00808022,140410,2014,2019-05-22,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
18,(주)민앤지,코스닥시장,01013311,214180,2016~2017반기,2018-04-11,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
19,(주)바른손,코스닥시장,00122205,018700,2016.4.1.~2017.6.31.,2018-08-22,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
20,(주)바른테크놀로지,코스닥시장,00186452,029480,2011~2017.9.,2018-10-17,0,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
21,(주)바이오니아,코스닥시장,00326731,064550,2013~2015.9.30.,2016-03-09,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,
23,(주)삼일,코스닥시장,00127909,032280,"2012년,2014~2015년",2017-07-19,0,0,0,0,1,1,0,1,0,0,0,0,,,,,,,,,,,
24,(주)상보,코스닥시장,00129615,027580,2011~2017.9.30.,2018-09-19,0,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
25,(주)서연,유가증권시장,00163114,007860,2009년~2012년,2017-07-19,0,0,0,0,0,0,0,1,1,1,1,0,,,,,,,,,,,
27,(주)서희건설,코스닥시장,00219848,035890,2009~2017.1분기,2017-11-15,0,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,
30,(주)셀루메드,코스닥시장,00310156,049180,2015~2017,2019-11-13,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
31,"행남사(구, 스튜디오썸머)",코스닥시장,00164362,008800,2016~2017.9.30.,2019-07-03,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
32,(주)시노펙스,코스닥시장,00203023,025320,2016~2017,2019-09-04,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
34,(주)씨아이테크,유가증권시장,00127158,004920,2014~2016.6.30.,2016-11-09,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,
35,(주)씨에스,코스닥시장,00303703,065770,2014,2017-02-15,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
37,(주)씨에스에이코스믹,코스닥시장,00406037,083660,2013,2019-02-13,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
39,(주)아난티,코스닥시장,00161781,025980,2010~2015,2019-12-09,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,,,,,
41,(주)에스에프씨,코스닥시장,00450339,112240,2016~2018.9.30.,2020-03-11,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
44,(주)에스엠코어,코스닥시장,00137915,007820,2016.3.31.,2017-09-13,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
45,(주)에스제이엠,유가증권시장,00815369,123700,2012~2016.9.30.,2019-03-13,0,0,0,1,1,1,1,1,0,0,0,0,,,,,,,,,,,
46,(주)에스제이엠홀딩스,유가증권시장,00181943,025530,2012~2016.9.30.,2019-03-13,0,0,0,1,1,1,1,1,0,0,0,0,,,,,,,,,,,
47,(주)에스제이케이,코스닥시장,00366793,080440,2013~2014,2020-02-12,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,
48,"엔에스엔(구, 에이모션)",코스닥시장,00180865,031860,2013.12.31.~2014.3.31.,2016-12-07,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,
50,(주)엘아이에스,코스닥시장,00670085,138690,2012~2015,2018-05-09,0,0,0,0,1,1,1,1,0,0,0,0,,,,,,,,,,,
51,(주)엘앤에프,코스닥시장,00398701,066970,2011~2015.9.30,2016-12-21,0,0,0,0,1,1,1,1,1,0,0,0,,,,,,,,,,,
52,(주)엘엠에스,코스닥시장,00494218,073110,2011~2016,2020-01-08,0,0,0,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
54,(주)엠젠플러스,코스닥시장,00110884,032790,2011~2017,2019-12-09,0,0,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
55,(주)오리엔탈정공,코스닥시장,00141608,014940,2015~2016.9.30.,2018-04-25,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
56,(주)와이오엠,코스닥시장,00370200,066430,2014.6.30.~2016,2018-01-10,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,
57,(주)우리기술,코스닥시장,00231044,032820,2015~2016,2019-06-19,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
58,(주)웅진,유가증권시장,00143651,016880,2013~2017,2018-09-19,0,0,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,
59,(주)위닉스,코스닥시장,00293886,044340,2016~2017.9.30.,2019-07-17,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
61,(주)이노와이즈,코스닥시장,00166333,086250,"2016, 2017",2020-05-06,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
68,(주)청호컴넷,유가증권시장,00151863,012600,2015년~2016년 3분기,2017-11-29,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
69,(주)카스,코스닥시장,00152260,016920,2010~2013,2019-03-13,0,0,0,0,0,0,1,1,1,1,0,0,,,,,,,,,,,
70,"위너지스(구, 카테아)",코스닥시장,00207223,026260,2015 ~ 2017.6.30.,2018-03-28,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
71,(주)케이엔씨글로벌,코스닥시장,00394778,068150,2013,2016-11-09,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
72,(주)케이지모빌리언스,코스닥시장,00405278,046440,2011~2015,2017-12-13,0,0,0,0,1,1,1,1,1,0,0,0,,,,,,,,,,,
73,(주)케이지이니시스,코스닥시장,00264547,035600,2014~2015,2017-12-13,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,
74,(주)케이티앤지,유가증권시장,00244455,033780,2011~2018,2020-07-15,0,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,
76,"디에스티(구, 코리드)",코스닥시장,00244419,033430,"2010~2012, 2014~2016.6.30",2016-11-09,0,0,0,1,1,1,0,1,1,1,0,0,,,,,,,,,,,
78,(주)티피씨메카트로닉스(TPC),코스닥시장,00108649,048770,2014~2016.9.30.,2019-10-30,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,
79,(주)파이오링크,코스닥시장,00492353,170790,2010~2014,2019-02-27,0,0,0,0,0,1,1,1,1,1,0,0,,,,,,,,,,,
83,(주)한일진공,코스닥시장,00809429,123840,2016~2018.6.30.,2020-01-22,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
